#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: May 6, 2015
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=8 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
mhp tb xsec unc- unc+
200 0.1 85.7455 17.3389 16.7943 
200 0.2 21.4524 4.36794 4.23167 
200 0.3 9.52382 1.92287 1.86233 
200 0.4 5.3618 1.0875 1.05345 
200 0.5 3.42969 0.694362 0.672558 
200 0.6 2.38342 0.484275 0.469143 
200 0.7 1.75161 0.35709 0.345966 
200 0.8 1.34289 0.271468 0.262954 
200 0.9 1.05683 0.213818 0.207128 
200 1 0.857802 0.172801 0.167361 
200 2 0.214477 0.0432376 0.0418817 
200 3 0.0966049 0.0194414 0.0188323 
200 4 0.0566048 0.0114212 0.0110644 
200 5 0.0392484 0.00789584 0.00764708 
200 6 0.0311514 0.006255 0.00605449 
200 7 0.0276926 0.00553599 0.00535419 
200 8 0.0268141 0.00534309 0.00516295 
200 9 0.0277531 0.00549902 0.00530846 
200 10 0.0298763 0.00595491 0.00574566 
200 11 0.0329881 0.00654665 0.0063123 
200 12 0.0368069 0.00730809 0.00704412 
200 13 0.0414343 0.00822856 0.00792776 
200 14 0.0466063 0.00924826 0.00890741 
200 15 0.0523526 0.010403 0.0100189 
200 16 0.0586998 0.0116488 0.0112153 
200 17 0.0654449 0.0129917 0.0125078 
200 18 0.0727478 0.0144433 0.0139042 
200 19 0.0805414 0.0159928 0.0153939 
200 20 0.0888424 0.0176668 0.017005 
200 25 0.137108 0.0272863 0.0262597 
200 30 0.196776 0.039262 0.0377847 
200 35 0.267425 0.0530221 0.0510086 
200 40 0.349144 0.0695012 0.0668714 
200 45 0.441456 0.0876682 0.0843442 
200 50 0.545641 0.108471 0.10435 
200 55 0.659422 0.130997 0.126028 
200 60 0.785031 0.155863 0.149937 
220 0.1 69.4423 14.1782 13.8935 
220 0.2 17.3665 3.54206 3.47069 
220 0.3 7.72177 1.57378 1.54206 
220 0.4 4.34491 0.886437 0.868618 
220 0.5 2.77963 0.565381 0.553966 
220 0.6 1.92772 0.393484 0.38557 
220 0.7 1.41712 0.288121 0.282308 
220 0.8 1.08612 0.223729 0.219265 
220 0.9 0.858203 0.175914 0.172391 
220 1 0.694064 0.141494 0.138652 
220 2 0.174115 0.0353906 0.0346795 
220 3 0.0783875 0.0159428 0.0156234 
220 4 0.0458541 0.00929573 0.00910874 
220 5 0.0318096 0.0064562 0.00632567 
220 6 0.0252587 0.00511693 0.00501158 
220 7 0.0224147 0.00450324 0.00440774 
220 8 0.0217114 0.00438781 0.0042931 
220 9 0.0224246 0.00453806 0.00443819 
220 10 0.0241126 0.00487325 0.00476386 
