#        M_H  tanbeta            NLO                pdf_error_hi        pdf_error_lo   sigma_scale_nlo+  sigma_scale_nlo-	       
        200  1.000000e-01       2.899208e+02       +9.397311e+00       -9.397311e+00      +3.75e+01         -3.91e+01	   
        200  2.000000e-01       7.248022e+01       +2.349324e+00       -2.349324e+00      +9.37e+00         -9.77e+00	   
        200  3.000000e-01       3.221349e+01       +1.044149e+00       -1.044149e+00      +4.16e+00         -4.34e+00	   
        200  4.000000e-01       1.812017e+01       +5.873385e-01       -5.873385e-01      +2.34e+00         -2.44e+00	   
        200  5.000000e-01       1.159703e+01       +3.759022e-01       -3.759022e-01      +1.50e+00         -1.56e+00	   
        200  6.000000e-01       8.053640e+00       +2.610455e-01       -2.610455e-01      +1.04e+00         -1.09e+00	   
        200  7.000000e-01       5.917139e+00       +1.917941e-01       -1.917941e-01      +7.65e-01         -7.98e-01	   
        200  8.000000e-01       4.530520e+00       +1.468494e-01       -1.468494e-01      +5.85e-01         -6.11e-01	   
        200  9.000000e-01       3.579911e+00       +1.160366e-01       -1.160366e-01      +4.63e-01         -4.83e-01	   
        200  1.000000e+00       2.900001e+00       +9.399885e-02       -9.399885e-02      +3.75e-01         -3.91e-01	   
        200  2.000000e+00       7.279765e-01       +2.359601e-02       -2.359601e-02      +9.42e-02         -9.83e-02	   
        200  3.000000e+00       3.292770e-01       +1.067258e-02       -1.067258e-02      +4.29e-02         -4.47e-02	   
        200  4.000000e+00       1.938989e-01       +6.284202e-03       -6.284202e-03      +2.56e-02         -2.68e-02	   
        200  5.000000e+00       1.358096e-01       +4.400896e-03       -4.400896e-03      +1.84e-02         -1.93e-02	   
        200  6.000000e+00       1.091050e-01       +3.534853e-03       -3.534853e-03      +1.54e-02         -1.61e-02	   
        200  7.000000e+00       9.805641e-02       +3.176156e-03       -3.176156e-03      +1.44e-02         -1.52e-02	   
        200  8.000000e+00       9.609379e-02       +3.111876e-03       -3.111876e-03      +1.47e-02         -1.55e-02	   
        200  9.000000e+00       1.000784e-01       +3.240249e-03       -3.240249e-03      +1.58e-02         -1.67e-02	   
        200  1.000000e+01       1.083572e-01       +3.507777e-03       -3.507777e-03      +1.76e-02         -1.86e-02	   
        200  1.100000e+01       1.199922e-01       +3.883989e-03       -3.883989e-03      +1.99e-02         -2.10e-02	   
        200  1.200000e+01       1.344191e-01       +4.350605e-03       -4.350605e-03      +2.25e-02         -2.38e-02	   
        200  1.300000e+01       1.512821e-01       +4.896074e-03       -4.896074e-03      +2.56e-02         -2.71e-02	   
        200  1.400000e+01       1.703475e-01       +5.512795e-03       -5.512795e-03      +2.91e-02         -3.07e-02	   
        200  1.500000e+01       1.914569e-01       +6.195715e-03       -6.195715e-03      +3.28e-02         -3.47e-02	   
        200  1.600000e+01       2.144997e-01       +6.941335e-03       -6.941335e-03      +3.69e-02         -3.91e-02	   
        200  1.700000e+01       2.393970e-01       +7.746839e-03       -7.746839e-03      +4.13e-02         -4.37e-02	   
        200  1.800000e+01       2.660911e-01       +8.610496e-03       -8.610496e-03      +4.60e-02         -4.87e-02	   
        200  1.900000e+01       2.945391e-01       +9.530957e-03       -9.530957e-03      +5.10e-02         -5.40e-02	   
        200  2.000000e+01       3.247085e-01       +1.050714e-02       -1.050714e-02      +5.63e-02         -5.96e-02	   
        200  2.100000e+01       3.565743e-01       +1.153821e-02       -1.153821e-02      +6.19e-02         -6.55e-02	   
        200  2.200000e+01       3.901172e-01       +1.262352e-02       -1.262352e-02      +6.78e-02         -7.18e-02	   
        200  2.300000e+01       4.253220e-01       +1.376259e-02       -1.376259e-02      +7.40e-02         -7.83e-02	   
        200  2.400000e+01       4.621764e-01       +1.495515e-02       -1.495515e-02      +8.04e-02         -8.51e-02	   
        200  2.500000e+01       5.006707e-01       +1.620068e-02       -1.620068e-02      +8.72e-02         -9.23e-02	   
        200  2.600000e+01       5.407969e-01       +1.749901e-02       -1.749901e-02      +9.42e-02         -9.97e-02	   
        200  2.700000e+01       5.825486e-01       +1.884997e-02       -1.884997e-02      +1.01e-01         -1.07e-01	   
        200  2.800000e+01       6.259204e-01       +2.025341e-02       -2.025341e-02      +1.09e-01         -1.15e-01	   
        200  2.900000e+01       6.709079e-01       +2.170905e-02       -2.170905e-02      +1.17e-01         -1.24e-01	   
        200  3.000000e+01       7.175073e-01       +2.321690e-02       -2.321690e-02      +1.25e-01         -1.32e-01	   
        200  3.100000e+01       7.657156e-01       +2.477679e-02       -2.477679e-02      +1.33e-01         -1.41e-01	   
        200  3.200000e+01       8.155300e-01       +2.638865e-02       -2.638865e-02      +1.42e-01         -1.51e-01	   
        200  3.300000e+01       8.669483e-01       +2.805235e-02       -2.805235e-02      +1.51e-01         -1.60e-01	   
        200  3.400000e+01       9.199686e-01       +2.976803e-02       -2.976803e-02      +1.60e-01         -1.70e-01	   
        200  3.500000e+01       9.745893e-01       +3.153540e-02       -3.153540e-02      +1.70e-01         -1.80e-01	   
        200  3.600000e+01       1.030809e+00       +3.335417e-02       -3.335417e-02      +1.80e-01         -1.90e-01	   
        200  3.700000e+01       1.088626e+00       +3.522541e-02       -3.522541e-02      +1.90e-01         -2.01e-01	   
        200  3.800000e+01       1.148040e+00       +3.714823e-02       -3.714823e-02      +2.00e-01         -2.12e-01	   
        200  3.900000e+01       1.209049e+00       +3.912178e-02       -3.912178e-02      +2.11e-01         -2.23e-01	   
        200  4.000000e+01       1.271654e+00       +4.114722e-02       -4.114722e-02      +2.22e-01         -2.35e-01	   
        200  4.100000e+01       1.335852e+00       +4.322482e-02       -4.322482e-02      +2.33e-01         -2.47e-01	   
        200  4.200000e+01       1.401644e+00       +4.535417e-02       -4.535417e-02      +2.44e-01         -2.59e-01	   
        200  4.300000e+01       1.469029e+00       +4.753369e-02       -4.753369e-02      +2.56e-01         -2.71e-01	   
        200  4.400000e+01       1.538006e+00       +4.976565e-02       -4.976565e-02      +2.68e-01         -2.84e-01	   
        200  4.500000e+01       1.608575e+00       +5.204955e-02       -5.204955e-02      +2.81e-01         -2.97e-01	   
        200  4.600000e+01       1.680736e+00       +5.438416e-02       -5.438416e-02      +2.93e-01         -3.10e-01	   
        200  4.700000e+01       1.754488e+00       +5.677074e-02       -5.677074e-02      +3.06e-01         -3.24e-01	   
        200  4.800000e+01       1.829830e+00       +5.920848e-02       -5.920848e-02      +3.19e-01         -3.38e-01	   
        200  4.900000e+01       1.906764e+00       +6.169825e-02       -6.169825e-02      +3.33e-01         -3.52e-01	   
        200  5.000000e+01       1.985287e+00       +6.423872e-02       -6.423872e-02      +3.46e-01         -3.67e-01	   
        200  5.100000e+01       2.065401e+00       +6.683140e-02       -6.683140e-02      +3.60e-01         -3.81e-01	   
        200  5.200000e+01       2.147105e+00       +6.947466e-02       -6.947466e-02      +3.75e-01         -3.97e-01	   
        200  5.300000e+01       2.230398e+00       +7.217025e-02       -7.217025e-02      +3.89e-01         -4.12e-01	   
        200  5.400000e+01       2.315281e+00       +7.491623e-02       -7.491623e-02      +4.04e-01         -4.28e-01	   
        200  5.500000e+01       2.401753e+00       +7.771453e-02       -7.771453e-02      +4.19e-01         -4.44e-01	   
        200  5.600000e+01       2.489814e+00       +8.056433e-02       -8.056433e-02      +4.34e-01         -4.60e-01	   
        200  5.700000e+01       2.579465e+00       +8.346502e-02       -8.346502e-02      +4.50e-01         -4.76e-01	   
        200  5.800000e+01       2.670704e+00       +8.641738e-02       -8.641738e-02      +4.66e-01         -4.93e-01	   
        200  5.900000e+01       2.763532e+00       +8.942132e-02       -8.942132e-02      +4.82e-01         -5.10e-01	   
        200  6.000000e+01       2.857949e+00       +9.247578e-02       -9.247578e-02      +4.99e-01         -5.28e-01	   
        220  1.000000e-01       2.381697e+02       +7.985997e+00       -7.985997e+00      +3.05e+01         -3.22e+01	   
        220  2.000000e-01       5.954244e+01       +1.996499e+00       -1.996499e+00      +7.64e+00         -8.04e+00	   
        220  3.000000e-01       2.646336e+01       +8.873293e-01       -8.873293e-01      +3.39e+00         -3.57e+00	   
        220  4.000000e-01       1.488571e+01       +4.991325e-01       -4.991325e-01      +1.91e+00         -2.01e+00	   
        220  5.000000e-01       9.526949e+00       +3.194449e-01       -3.194449e-01      +1.22e+00         -1.29e+00	   
        220  6.000000e-01       6.616058e+00       +2.218413e-01       -2.218413e-01      +8.49e-01         -8.93e-01	   
        220  7.000000e-01       4.860924e+00       +1.629903e-01       -1.629903e-01      +6.23e-01         -6.56e-01	   
        220  8.000000e-01       3.721817e+00       +1.247954e-01       -1.247954e-01      +4.77e-01         -5.03e-01	   
        220  9.000000e-01       2.940893e+00       +9.861018e-02       -9.861018e-02      +3.77e-01         -3.97e-01	   
        220  1.000000e+00       2.382346e+00       +7.988172e-02       -7.988172e-02      +3.06e-01         -3.22e-01	   
        220  2.000000e+00       5.980233e-01       +2.005203e-02       -2.005203e-02      +7.68e-02         -8.09e-02	   
        220  3.000000e+00       2.704811e-01       +9.069161e-03       -9.069161e-03      +3.50e-02         -3.68e-02	   
        220  4.000000e+00       1.592527e-01       +5.339460e-03       -5.339460e-03      +2.09e-02         -2.20e-02	   
        220  5.000000e+00       1.115126e-01       +3.738529e-03       -3.738529e-03      +1.51e-02         -1.59e-02	   
        220  6.000000e+00       8.955071e-02       +3.001783e-03       -3.001783e-03      +1.26e-02         -1.33e-02	   
        220  7.000000e+00       8.044581e-02       +2.696164e-03       -2.696164e-03      +1.18e-02         -1.25e-02	   
        220  8.000000e+00       7.880063e-02       +2.640616e-03       -2.640616e-03      +1.20e-02         -1.27e-02	   
        220  9.000000e+00       8.203672e-02       +2.748698e-03       -2.748698e-03      +1.30e-02         -1.37e-02	   
        220  1.000000e+01       8.879605e-02       +2.974869e-03       -2.974869e-03      +1.44e-02         -1.53e-02	   
        220  1.100000e+01       9.830814e-02       +3.293278e-03       -3.293278e-03      +1.63e-02         -1.72e-02	   
        220  1.200000e+01       1.101094e-01       +3.688433e-03       -3.688433e-03      +1.85e-02         -1.96e-02	   
        220  1.300000e+01       1.239075e-01       +4.150426e-03       -4.150426e-03      +2.10e-02         -2.23e-02	   
        220  1.400000e+01       1.395105e-01       +4.672900e-03       -4.672900e-03      +2.38e-02         -2.52e-02	   
        220  1.500000e+01       1.567883e-01       +5.251557e-03       -5.251557e-03      +2.69e-02         -2.85e-02	   
        220  1.600000e+01       1.756500e-01       +5.883199e-03       -5.883199e-03      +3.03e-02         -3.21e-02	   
        220  1.700000e+01       1.960307e-01       +6.565798e-03       -6.565798e-03      +3.39e-02         -3.59e-02	   
        220  1.800000e+01       2.178832e-01       +7.297612e-03       -7.297612e-03      +3.77e-02         -4.00e-02	   
        220  1.900000e+01       2.411720e-01       +8.077544e-03       -8.077544e-03      +4.18e-02         -4.44e-02	   
        220  2.000000e+01       2.658706e-01       +8.904770e-03       -8.904770e-03      +4.62e-02         -4.90e-02	   
        220  2.100000e+01       2.919584e-01       +9.778506e-03       -9.778506e-03      +5.08e-02         -5.38e-02	   
        220  2.200000e+01       3.194196e-01       +1.069815e-02       -1.069815e-02      +5.56e-02         -5.89e-02	   
        220  2.300000e+01       3.482416e-01       +1.166341e-02       -1.166341e-02      +6.06e-02         -6.43e-02	   
        220  2.400000e+01       3.784144e-01       +1.267396e-02       -1.267396e-02      +6.59e-02         -6.99e-02	   
        220  2.500000e+01       4.099300e-01       +1.372948e-02       -1.372948e-02      +7.14e-02         -7.58e-02	   
        220  2.600000e+01       4.427818e-01       +1.482967e-02       -1.482967e-02      +7.72e-02         -8.19e-02	   
        220  2.700000e+01       4.769646e-01       +1.597452e-02       -1.597452e-02      +8.32e-02         -8.82e-02	   
        220  2.800000e+01       5.124739e-01       +1.716384e-02       -1.716384e-02      +8.94e-02         -9.48e-02	   
        220  2.900000e+01       5.493061e-01       +1.839740e-02       -1.839740e-02      +9.58e-02         -1.02e-01	   
        220  3.000000e+01       5.874581e-01       +1.967513e-02       -1.967513e-02      +1.03e-01         -1.09e-01	   
        220  3.100000e+01       6.269274e-01       +2.099702e-02       -2.099702e-02      +1.09e-01         -1.16e-01	   
        220  3.200000e+01       6.677117e-01       +2.236291e-02       -2.236291e-02      +1.17e-01         -1.24e-01	   
        220  3.300000e+01       7.098093e-01       +2.377285e-02       -2.377285e-02      +1.24e-01         -1.31e-01	   
        220  3.400000e+01       7.532185e-01       +2.522676e-02       -2.522676e-02      +1.31e-01         -1.39e-01	   
        220  3.500000e+01       7.979381e-01       +2.672451e-02       -2.672451e-02      +1.39e-01         -1.48e-01	   
        220  3.600000e+01       8.439667e-01       +2.826603e-02       -2.826603e-02      +1.47e-01         -1.56e-01	   
        220  3.700000e+01       8.913034e-01       +2.985146e-02       -2.985146e-02      +1.56e-01         -1.65e-01	   
        220  3.800000e+01       9.399474e-01       +3.148058e-02       -3.148058e-02      +1.64e-01         -1.74e-01	   
        220  3.900000e+01       9.898978e-01       +3.315362e-02       -3.315362e-02      +1.73e-01         -1.83e-01	   
        220  4.000000e+01       1.041154e+00       +3.487038e-02       -3.487038e-02      +1.82e-01         -1.93e-01	   
        220  4.100000e+01       1.093715e+00       +3.663111e-02       -3.663111e-02      +1.91e-01         -2.03e-01	   
        220  4.200000e+01       1.147581e+00       +3.843433e-02       -3.843433e-02      +2.00e-01         -2.13e-01	   
        220  4.300000e+01       1.202751e+00       +4.028261e-02       -4.028261e-02      +2.10e-01         -2.23e-01	   
        220  4.400000e+01       1.259225e+00       +4.217386e-02       -4.217386e-02      +2.20e-01         -2.33e-01	   
        220  4.500000e+01       1.317003e+00       +4.410900e-02       -4.410900e-02      +2.30e-01         -2.44e-01	   
        220  4.600000e+01       1.376083e+00       +4.608776e-02       -4.608776e-02      +2.40e-01         -2.55e-01	   
        220  4.700000e+01       1.436466e+00       +4.810959e-02       -4.810959e-02      +2.51e-01         -2.66e-01	   
        220  4.800000e+01       1.498152e+00       +5.017550e-02       -5.017550e-02      +2.62e-01         -2.78e-01	   
        220  4.900000e+01       1.561140e+00       +5.228533e-02       -5.228533e-02      +2.73e-01         -2.89e-01	   
        220  5.000000e+01       1.625430e+00       +5.443817e-02       -5.443817e-02      +2.84e-01         -3.01e-01	   
        220  5.100000e+01       1.691022e+00       +5.663465e-02       -5.663465e-02      +2.95e-01         -3.13e-01	   
        220  5.200000e+01       1.757915e+00       +5.887656e-02       -5.887656e-02      +3.07e-01         -3.26e-01	   
        220  5.300000e+01       1.826110e+00       +6.116015e-02       -6.116015e-02      +3.19e-01         -3.38e-01	   
        220  5.400000e+01       1.895607e+00       +6.348759e-02       -6.348759e-02      +3.31e-01         -3.51e-01	   
        220  5.500000e+01       1.966405e+00       +6.585824e-02       -6.585824e-02      +3.43e-01         -3.64e-01	   
        220  5.600000e+01       2.038504e+00       +6.827278e-02       -6.827278e-02      +3.56e-01         -3.78e-01	   
        220  5.700000e+01       2.111904e+00       +7.073072e-02       -7.073072e-02      +3.69e-01         -3.91e-01	   
        220  5.800000e+01       2.186604e+00       +7.323327e-02       -7.323327e-02      +3.82e-01         -4.05e-01	   
