#        M_H  tanbeta            NLO                pdf_error_hi        pdf_error_lo   sigma_scale_nlo+  sigma_scale_nlo-    
        200  1.000000e-01       3.621379e+02       +3.690956e+00       -3.690956e+00      +1.40e+01         -1.50e+01  
        200  2.000000e-01       9.053451e+01       +9.227389e-01       -9.227389e-01      +3.50e+00         -3.75e+00  
        200  3.000000e-01       4.023762e+01       +4.101065e-01       -4.101065e-01      +1.56e+00         -1.67e+00  
        200  4.000000e-01       2.263375e+01       +2.306847e-01       -2.306847e-01      +8.75e-01         -9.38e-01  
        200  5.000000e-01       1.448573e+01       +1.476407e-01       -1.476407e-01      +5.60e-01         -6.00e-01  
        200  6.000000e-01       1.005969e+01       +1.025289e-01       -1.025289e-01      +3.89e-01         -4.17e-01  
        200  7.000000e-01       7.390976e+00       +7.532972e-02       -7.532972e-02      +2.86e-01         -3.06e-01  
        200  8.000000e-01       5.658935e+00       +5.767649e-02       -5.767649e-02      +2.19e-01         -2.34e-01  
        200  9.000000e-01       4.471509e+00       +4.557416e-02       -4.557416e-02      +1.73e-01         -1.85e-01  
        200  1.000000e+00       3.622207e+00       +3.691792e-02       -3.691792e-02      +1.40e-01         -1.50e-01  
        200  2.000000e+00       9.086572e-01       +9.260853e-03       -9.260853e-03      +3.53e-02         -3.78e-02  
        200  3.000000e+00       4.098284e-01       +4.176362e-03       -4.176362e-03      +1.63e-02         -1.74e-02  
        200  4.000000e+00       2.395859e-01       +2.440733e-03       -2.440733e-03      +1.01e-02         -1.07e-02  
        200  5.000000e+00       1.655578e-01       +1.685642e-03       -1.685642e-03      +7.68e-03         -8.10e-03  
        200  6.000000e+00       1.304056e-01       +1.326733e-03       -1.326733e-03      +6.88e-03         -7.19e-03  
        200  7.000000e+00       1.144828e-01       +1.163806e-03       -1.163806e-03      +6.92e-03         -7.18e-03  
        200  8.000000e+00       1.095827e-01       +1.113243e-03       -1.113243e-03      +7.50e-03         -7.72e-03  
        200  9.000000e+00       1.117848e-01       +1.135067e-03       -1.135067e-03      +8.45e-03         -8.66e-03  
        200  1.000000e+01       1.190241e-01       +1.208203e-03       -1.208203e-03      +9.70e-03         -9.90e-03  
        200  1.100000e+01       1.301293e-01       +1.320680e-03       -1.320680e-03      +1.12e-02         -1.14e-02  
        200  1.200000e+01       1.443954e-01       +1.465311e-03       -1.465311e-03      +1.29e-02         -1.31e-02  
        200  1.300000e+01       1.613778e-01       +1.637541e-03       -1.637541e-03      +1.49e-02         -1.51e-02  
        200  1.400000e+01       1.807847e-01       +1.834409e-03       -1.834409e-03      +1.70e-02         -1.72e-02  
        200  1.500000e+01       2.024183e-01       +2.053872e-03       -2.053872e-03      +1.93e-02         -1.96e-02  
        200  1.600000e+01       2.261405e-01       +2.294540e-03       -2.294540e-03      +2.18e-02         -2.21e-02  
        200  1.700000e+01       2.518526e-01       +2.555440e-03       -2.555440e-03      +2.45e-02         -2.48e-02  
        200  1.800000e+01       2.794826e-01       +2.835742e-03       -2.835742e-03      +2.73e-02         -2.77e-02  
        200  1.900000e+01       3.089769e-01       +3.134987e-03       -3.134987e-03      +3.04e-02         -3.07e-02  
        200  2.000000e+01       3.402948e-01       +3.452745e-03       -3.452745e-03      +3.35e-02         -3.40e-02  
        200  2.100000e+01       3.734054e-01       +3.788691e-03       -3.788691e-03      +3.69e-02         -3.74e-02  
        200  2.200000e+01       4.082843e-01       +4.142582e-03       -4.142582e-03      +4.05e-02         -4.10e-02  
        200  2.300000e+01       4.449124e-01       +4.514198e-03       -4.514198e-03      +4.42e-02         -4.47e-02  
        200  2.400000e+01       4.832747e-01       +4.903440e-03       -4.903440e-03      +4.81e-02         -4.86e-02  
        200  2.500000e+01       5.233589e-01       +5.310145e-03       -5.310145e-03      +5.21e-02         -5.27e-02  
        200  2.600000e+01       5.651550e-01       +5.734219e-03       -5.734219e-03      +5.63e-02         -5.70e-02  
        200  2.700000e+01       6.086550e-01       +6.175572e-03       -6.175572e-03      +6.07e-02         -6.14e-02  
        200  2.800000e+01       6.538522e-01       +6.634164e-03       -6.634164e-03      +6.53e-02         -6.60e-02  
        200  2.900000e+01       7.007410e-01       +7.109914e-03       -7.109914e-03      +7.00e-02         -7.08e-02  
        200  3.000000e+01       7.493168e-01       +7.602767e-03       -7.602767e-03      +7.49e-02         -7.58e-02  
        200  3.100000e+01       7.995757e-01       +8.112695e-03       -8.112695e-03      +7.99e-02         -8.09e-02  
        200  3.200000e+01       8.515144e-01       +8.639690e-03       -8.639690e-03      +8.51e-02         -8.62e-02  
        200  3.300000e+01       9.051301e-01       +9.183675e-03       -9.183675e-03      +9.05e-02         -9.16e-02  
        200  3.400000e+01       9.604203e-01       +9.744665e-03       -9.744665e-03      +9.61e-02         -9.72e-02  
        200  3.500000e+01       1.017383e+00       +1.032261e-02       -1.032261e-02      +1.02e-01         -1.03e-01  
        200  3.600000e+01       1.076016e+00       +1.091755e-02       -1.091755e-02      +1.08e-01         -1.09e-01  
        200  3.700000e+01       1.136319e+00       +1.152929e-02       -1.152929e-02      +1.14e-01         -1.15e-01  
        200  3.800000e+01       1.198289e+00       +1.215818e-02       -1.215818e-02      +1.20e-01         -1.21e-01  
        200  3.900000e+01       1.261926e+00       +1.280387e-02       -1.280387e-02      +1.26e-01         -1.28e-01  
        200  4.000000e+01       1.327229e+00       +1.346642e-02       -1.346642e-02      +1.33e-01         -1.34e-01  
