 MH    ENV(+)        CT10(+)       MSTW(+)        NNPDF23(+)    ENV(-)        CT10(-)       MSTW(-)       NNPDF23(-)        <ENV> 
 200    8.3857E-01    7.7673E-01    8.3382E-01    8.3857E-01    7.7673E-01    7.7673E-01    7.8850E-01    7.8603E-01    8.0765E-01
 220    7.6998E-01    6.4490E-01    6.9098E-01    7.6998E-01    5.7421E-01    6.4490E-01    6.5260E-01    5.7421E-01    6.7209E-01
 240    5.7449E-01    5.3916E-01    5.7218E-01    5.7449E-01    5.3577E-01    5.3916E-01    5.3882E-01    5.3577E-01    5.5513E-01
 260    5.0160E-01    4.5088E-01    4.8186E-01    5.0160E-01    4.3293E-01    4.5088E-01    4.5305E-01    4.3293E-01    4.6726E-01
 280    4.5552E-01    3.7909E-01    4.2111E-01    4.5552E-01    3.6023E-01    3.7909E-01    3.8761E-01    3.6023E-01    4.0788E-01
 300    3.4237E-01    3.1976E-01    3.4077E-01    3.4237E-01    3.1846E-01    3.1976E-01    3.2039E-01    3.1846E-01    3.3041E-01
 320    3.0574E-01    2.7238E-01    2.9143E-01    3.0574E-01    2.5770E-01    2.7238E-01    2.7231E-01    2.5770E-01    2.8172E-01
 340    2.6109E-01    2.3121E-01    2.4580E-01    2.6109E-01    2.1545E-01    2.3121E-01    2.3004E-01    2.1545E-01    2.3827E-01
 360    2.1660E-01    1.9883E-01    2.1155E-01    2.1660E-01    1.9216E-01    1.9883E-01    1.9692E-01    1.9216E-01    2.0438E-01
 380    1.8291E-01    1.6974E-01    1.8148E-01    1.8291E-01    1.6702E-01    1.6974E-01    1.6835E-01    1.6702E-01    1.7497E-01
 400    1.5691E-01    1.4574E-01    1.5576E-01    1.5691E-01    1.4346E-01    1.4574E-01    1.4422E-01    1.4346E-01    1.5018E-01
 420    1.3583E-01    1.2569E-01    1.3467E-01    1.3583E-01    1.2374E-01    1.2569E-01    1.2429E-01    1.2374E-01    1.2979E-01
 440    1.1732E-01    1.0821E-01    1.1661E-01    1.1732E-01    1.0620E-01    1.0821E-01    1.0748E-01    1.0620E-01    1.1176E-01
 460    1.0147E-01    9.4253E-02    1.0147E-01    1.0094E-01    9.1628E-02    9.4253E-02    9.2360E-02    9.1628E-02    9.6550E-02
 480    8.8358E-02    8.2037E-02    8.8224E-02    8.8358E-02    8.0052E-02    8.2037E-02    8.0052E-02    8.0071E-02    8.4205E-02
 500    7.7248E-02    7.1351E-02    7.7248E-02    7.6946E-02    6.9532E-02    7.1351E-02    6.9587E-02    6.9532E-02    7.3390E-02
 520    6.7363E-02    6.2682E-02    6.7363E-02    6.7349E-02    6.0600E-02    6.2682E-02    6.0600E-02    6.1134E-02    6.3982E-02
 540    5.9763E-02    5.4745E-02    5.9763E-02    5.8940E-02    5.2905E-02    5.4745E-02    5.2905E-02    5.3109E-02    5.6334E-02
 560    5.2310E-02    4.8288E-02    5.2310E-02    5.1844E-02    4.6365E-02    4.8288E-02    4.6365E-02    4.6432E-02    4.9338E-02
 580    4.6263E-02    4.2540E-02    4.6263E-02    4.6118E-02    4.0561E-02    4.2540E-02    4.0561E-02    4.0904E-02    4.3412E-02
 600    4.0883E-02    3.7490E-02    4.0883E-02    4.0411E-02    3.5555E-02    3.7490E-02    3.5555E-02    3.6181E-02    3.8219E-02
