MH     NLO xsec     Er_scale(+)     Er_scale(-)   Er_PDF(+)     Er_PDF(-)     Er_mb(+)      Er_mb(-)      Er_PDF+mb(+)  Er_PDF+mb(-)  Er_TOT(+)     Er_TOT(-)
 200    8.1230E-01    1.3666E-01    1.4293E-01    7.4509E-03    1.0200E-02    2.0182E-02    2.1509E-02    2.1513E-02    2.3805E-02    1.5818E-01    1.6673E-01
 220    6.7209E-01    1.1394E-01    1.2208E-01    8.3841E-03    8.5756E-03    1.6918E-02    1.7501E-02    1.8882E-02    1.9489E-02    1.3282E-01    1.4157E-01
 240    5.5513E-01    9.4029E-02    1.0456E-01    1.0286E-02    5.6306E-03    1.3608E-02    1.5307E-02    1.7058E-02    1.6310E-02    1.1109E-01    1.2087E-01
 260    4.6726E-01    8.3286E-02    8.5771E-02    9.0301E-03    4.8225E-03    1.1469E-02    1.3370E-02    1.4597E-02    1.4213E-02    9.7883E-02    9.9984E-02
 280    4.0788E-01    6.5400E-02    7.3524E-02    3.8882E-03    1.9212E-02    1.2652E-02    6.4540E-03    1.3236E-02    2.0267E-02    7.8636E-02    9.3791E-02
 300    3.3041E-01    5.6940E-02    6.1018E-02    6.6046E-03    4.8298E-03    7.9787E-03    8.7789E-03    1.0358E-02    1.0020E-02    6.7297E-02    7.1038E-02
 320    2.8172E-01    5.1385E-02    5.2733E-02    6.2229E-03    6.1529E-03    7.4549E-03    7.1262E-03    9.7109E-03    9.4149E-03    6.1096E-02    6.2148E-02
 340    2.3827E-01    4.4832E-02    4.6028E-02    4.9027E-03    4.9458E-03    5.7129E-03    6.5750E-03    7.5282E-03    8.2275E-03    5.2360E-02    5.4255E-02
 360    2.0438E-01    3.6575E-02    3.9887E-02    4.9550E-03    4.9105E-03    5.1810E-03    5.6199E-03    7.1690E-03    7.4630E-03    4.3744E-02    4.7350E-02
 380    1.7497E-01    3.0912E-02    3.3496E-02    4.9280E-03    4.3334E-03    4.2615E-03    5.0058E-03    6.5150E-03    6.6209E-03    3.7427E-02    4.0117E-02
 400    1.5018E-01    2.4751E-02    2.8742E-02    4.0887E-03    4.3888E-03    3.7943E-03    4.0465E-03    5.5780E-03    5.9696E-03    3.0329E-02    3.4712E-02
 420    1.2979E-01    1.8845E-02    2.4830E-02    3.5732E-03    4.3653E-03    3.3350E-03    3.3395E-03    4.8877E-03    5.4962E-03    2.3733E-02    3.0326E-02
 440    1.1176E-01    1.6360E-02    2.1196E-02    3.9524E-03    2.9996E-03    2.8015E-03    3.0568E-03    4.8446E-03    4.2827E-03    2.1205E-02    2.5478E-02
 460    9.6284E-02    1.4146E-02    1.8751E-02    4.4974E-03    2.7416E-03    2.5882E-03    2.8073E-03    5.1890E-03    3.9240E-03    1.9335E-02    2.2674E-02
 480    8.4214E-02    1.2346E-02    1.6418E-02    3.3867E-03    3.4953E-03    2.1458E-03    2.2606E-03    4.0093E-03    4.1626E-03    1.6356E-02    2.0581E-02
 500    7.3239E-02    1.1357E-02    1.4058E-02    3.5646E-03    3.0595E-03    1.8356E-03    1.9940E-03    4.0094E-03    3.6519E-03    1.5366E-02    1.7710E-02
 520    6.4241E-02    1.1211E-02    1.2637E-02    2.6768E-03    3.2275E-03    1.6069E-03    1.6857E-03    3.1221E-03    3.6412E-03    1.4333E-02    1.6279E-02
 540    5.6024E-02    1.0400E-02    1.0755E-02    3.4563E-03    2.6810E-03    1.4267E-03    1.5940E-03    3.7392E-03    3.1190E-03    1.4139E-02    1.3874E-02
 560    4.9138E-02    9.3966E-03    9.7843E-03    2.9279E-03    2.4271E-03    1.2218E-03    1.3412E-03    3.1726E-03    2.7730E-03    1.2569E-02    1.2557E-02
 580    4.3511E-02    8.4489E-03    8.6142E-03    2.5248E-03    2.7163E-03    1.0947E-03    1.1525E-03    2.7519E-03    2.9507E-03    1.1201E-02    1.1565E-02
 600    3.8296E-02    7.2470E-03    7.5530E-03    2.4012E-03    2.5480E-03    9.6184E-04    1.0096E-03    2.5867E-03    2.7407E-03    9.8337E-03    1.0294E-02
 620    3.3892E-02    6.4370E-03    6.7815E-03    1.8402E-03    2.7465E-03    8.7072E-04    8.6698E-04    2.0358E-03    2.8801E-03    8.4728E-03    9.6617E-03
 640    2.9772E-02    5.8816E-03    6.0318E-03    2.4511E-03    1.9958E-03    7.4551E-04    8.1710E-04    2.5620E-03    2.1566E-03    8.4436E-03    8.1884E-03
 660    2.6458E-02    5.2873E-03    5.2824E-03    2.0369E-03    2.0452E-03    6.6281E-04    7.2431E-04    2.1420E-03    2.1697E-03    7.4293E-03    7.4521E-03
 680    2.3439E-02    4.7071E-03    4.6160E-03    3.0857E-03    1.8234E-03    5.8453E-04    6.4978E-04    3.1406E-03    1.9358E-03    7.8477E-03    6.5518E-03
 700    2.0793E-02    4.0797E-03    4.1954E-03    1.9333E-03    1.7578E-03    5.2082E-04    5.8748E-04    2.0022E-03    1.8533E-03    6.0819E-03    6.0487E-03
 720    1.8653E-02    3.7259E-03    3.8378E-03    1.5922E-03    2.0093E-03    4.9719E-04    4.8546E-04    1.6681E-03    2.0671E-03    5.3939E-03    5.9049E-03
 740    1.6556E-02    3.4400E-03    3.3446E-03    1.8881E-03    1.5125E-03    4.1550E-04    4.5395E-04    1.9333E-03    1.5792E-03    5.3733E-03    4.9238E-03
 760    1.4843E-02    3.0612E-03    2.9700E-03    1.2870E-03    1.8640E-03    3.9613E-04    3.7708E-04    1.3466E-03    1.9017E-03    4.4078E-03    4.8718E-03
 780    1.3268E-02    2.7297E-03    2.6772E-03    1.3464E-03    1.7079E-03    3.4323E-04    3.4184E-04    1.3894E-03    1.7417E-03    4.1192E-03    4.4189E-03
 800    1.1844E-02    2.4416E-03    2.4077E-03    1.4948E-03    1.4538E-03    3.0230E-04    3.2288E-04    1.5251E-03    1.4892E-03    3.9667E-03    3.8969E-03
 820    1.0660E-02    2.2232E-03    2.1985E-03    1.3151E-03    1.4683E-03    2.7183E-04    2.8851E-04    1.3429E-03    1.4964E-03    3.5661E-03    3.6949E-03
 840    9.5695E-03    2.0129E-03    1.9664E-03    1.3081E-03    1.3719E-03    2.4941E-04    2.5538E-04    1.3317E-03    1.3955E-03    3.3446E-03    3.3619E-03
 860    8.6011E-03    1.8867E-03    1.7180E-03    1.2548E-03    1.3301E-03    2.1870E-04    2.2789E-04    1.2737E-03    1.3495E-03    3.1604E-03    3.0675E-03
 880    7.7462E-03    1.6765E-03    1.5792E-03    1.2729E-03    1.2012E-03    1.9647E-04    2.0719E-04    1.2880E-03    1.2189E-03    2.9644E-03    2.7981E-03
 900    6.9942E-03    1.4868E-03    1.4053E-03    1.1304E-03    1.2388E-03    1.8269E-04    1.8895E-04    1.1451E-03    1.2532E-03    2.6319E-03    2.6584E-03
 920    6.3013E-03    1.3327E-03    1.2783E-03    1.1561E-03    1.0462E-03    1.6116E-04    1.6915E-04    1.1673E-03    1.0598E-03    2.4999E-03    2.3381E-03
 940    5.7014E-03    1.2541E-03    1.1415E-03    1.0565E-03    1.1169E-03    1.4410E-04    1.5570E-04    1.0663E-03    1.1277E-03    2.3204E-03    2.2692E-03
 960    5.1514E-03    1.1136E-03    1.0364E-03    1.0354E-03    1.0100E-03    1.3143E-04    1.3840E-04    1.0437E-03    1.0194E-03    2.1574E-03    2.0558E-03
 980    4.6564E-03    1.0084E-03    9.7359E-04    1.0375E-03    9.4680E-04    1.1777E-04    1.1878E-04    1.0442E-03    9.5422E-04    2.0526E-03    1.9278E-03
1000    4.2356E-03    9.1279E-04    8.7824E-04    8.4575E-04    1.0987E-03    1.1031E-04    1.1312E-04    8.5291E-04    1.1045E-03    1.7657E-03    1.9827E-03
