MH    NLO xsec      Er_scale (+)  Er_scale(-)
200   1.97924E-01   3.67835E-02   4.06904E-02
220   1.59395E-01   3.10433E-02   3.31026E-02
240   1.29649E-01   2.56667E-02   2.68707E-02
260   1.05906E-01   2.07701E-02   2.19537E-02
280   8.68785E-02   1.73970E-02   1.79787E-02
300   7.20315E-02   1.40125E-02   1.53028E-02
320   5.97459E-02   1.17416E-02   1.27873E-02
340   4.97851E-02   1.00012E-02   1.06512E-02
360   4.15563E-02   8.56766E-03   8.90444E-03
380   3.48318E-02   7.23979E-03   7.45204E-03
400   2.92906E-02   6.09578E-03   6.27637E-03
420   2.47579E-02   5.13885E-03   5.32520E-03
440   2.09633E-02   4.34695E-03   4.53720E-03
460   1.77777E-02   3.76800E-03   3.79884E-03
480   1.46389E-02   3.69339E-03   2.76339E-03
500   1.29064E-02   2.77446E-03   2.77015E-03
520   1.10389E-02   1.99537E-03   2.37398E-03
540   9.44423E-03   2.19169E-03   2.01866E-03
560   8.15833E-03   1.90766E-03   1.75908E-03
580   7.04675E-03   1.65241E-03   1.53668E-03
600   6.08123E-03   1.42769E-03   1.32429E-03
620    5.3203E-03    1.2230E-03    1.1739E-03
 640    4.6217E-03    1.0604E-03    1.0267E-03
 660    4.0208E-03    9.3693E-04    8.9128E-04
 680    3.4978E-03    8.1689E-04    7.7924E-04
 700    3.0508E-03    7.0196E-04    6.7968E-04
 720    2.6685E-03    6.1855E-04    5.9536E-04
 740    2.3384E-03    5.4256E-04    5.2798E-04
 760    2.0442E-03    4.8616E-04    4.5383E-04
 780    1.7966E-03    4.1814E-04    4.0049E-04
 800    1.5805E-03    3.7313E-04    3.5427E-04
 820    1.3938E-03    3.3038E-04    3.1435E-04
 840    1.2330E-03    2.8816E-04    2.8112E-04
 860    1.0848E-03    2.6122E-04    2.4547E-04
 880    9.5849E-04    2.2915E-04    2.1540E-04
 900    8.5415E-04    1.9917E-04    1.9667E-04
 920    7.5591E-04    1.7742E-04    1.7364E-04
 940    6.7300E-04    1.5933E-04    1.5647E-04
 960    5.9618E-04    1.4530E-04    1.3771E-04
 980    5.3048E-04    1.3147E-04    1.2245E-04
1000    4.7143E-04    1.1712E-04    1.0906E-04
1200    1.5588E-04    3.9629E-05    3.7320E-05
1400    5.5362E-05    1.4758E-05    1.3614E-05

