 MH     NLO xsec      Er_scale(+)   Er_scale(-)   Er_PDF(+)     Er_PDF(-)     Er_mb(+)      Er_mb(-)      Er_PDF+mb(+)  Er_PDF+mb(-)  Er_TOT(+)     Er_TOT(-)
200    2.0510E-01    3.6783E-02    4.0690E-02    5.2065E-03    6.5148E-03    5.3127E-03    5.6275E-03    7.4386E-03    8.6088E-03    4.4222E-02    4.9299E-02
220    1.6475E-01    3.1043E-02    3.3103E-02    4.3536E-03    5.4262E-03    4.2220E-03    4.4878E-03    6.0645E-03    7.0416E-03    3.7108E-02    4.0144E-02
240    1.3427E-01    2.5667E-02    2.6871E-02    3.6664E-03    4.5473E-03    3.3956E-03    3.5850E-03    4.9973E-03    5.7906E-03    3.0664E-02    3.2661E-02
260    1.0966E-01    2.0770E-02    2.1954E-02    3.0979E-03    3.8241E-03    2.8151E-03    2.8678E-03    4.1859E-03    4.7800E-03    2.4956E-02    2.6734E-02
280    8.9521E-02    1.7397E-02    1.7979E-02    2.6302E-03    3.2301E-03    2.4466E-03    2.3977E-03    3.5922E-03    4.0228E-03    2.0989E-02    2.2002E-02
300    7.4275E-02    1.4013E-02    1.5303E-02    2.2387E-03    2.7344E-03    1.8672E-03    1.9364E-03    2.9151E-03    3.3506E-03    1.6928E-02    1.8653E-02
320    6.1442E-02    1.1742E-02    1.2787E-02    1.9138E-03    2.3256E-03    1.5713E-03    1.6527E-03    2.4762E-03    2.8530E-03    1.4218E-02    1.5640E-02
340    5.1101E-02    1.0001E-02    1.0651E-02    1.6406E-03    1.9811E-03    1.3209E-03    1.3649E-03    2.1063E-03    2.4058E-03    1.2107E-02    1.3057E-02
360    4.2607E-02    8.5677E-03    8.9044E-03    1.4073E-03    1.6903E-03    1.0778E-03    1.1280E-03    1.7726E-03    2.0321E-03    1.0340E-02    1.0937E-02
380    3.5663E-02    7.2398E-03    7.4520E-03    1.2110E-03    1.4470E-03    8.9407E-04    9.5195E-04    1.5053E-03    1.7320E-03    8.7451E-03    9.1841E-03
400    2.9854E-02    6.0958E-03    6.2764E-03    1.0447E-03    1.2421E-03    7.4436E-04    8.1065E-04    1.2828E-03    1.4832E-03    7.3786E-03    7.7596E-03
420    2.5153E-02    5.1388E-03    5.3252E-03    9.0431E-04    1.0701E-03    6.3625E-04    6.7797E-04    1.1057E-03    1.2668E-03    6.2446E-03    6.5920E-03
440    2.1239E-02    4.3470E-03    4.5372E-03    7.8518E-04    9.2425E-04    5.3957E-04    5.7316E-04    9.5270E-04    1.0875E-03    5.2997E-03    5.6247E-03
460    1.8043E-02    3.7680E-03    3.7988E-03    6.8303E-04    8.0010E-04    4.7366E-04    4.8535E-04    8.3120E-04    9.3580E-04    4.5992E-03    4.7346E-03
480    1.5301E-02    3.6934E-03    2.7634E-03    5.9565E-04    6.9446E-04    3.9302E-04    4.1537E-04    7.1362E-04    8.0920E-04    4.4070E-03    3.5726E-03
500    1.3031E-02    2.7745E-03    2.7701E-03    5.2037E-04    6.0317E-04    3.3749E-04    3.5175E-04    6.2023E-04    6.9824E-04    3.3947E-03    3.4684E-03
520    1.1143E-02    1.9954E-03    2.3740E-03    4.5438E-04    5.2439E-04    2.9127E-04    2.9964E-04    5.3973E-04    6.0396E-04    2.5351E-03    2.9779E-03
540    9.5273E-03    2.1917E-03    2.0187E-03    3.9775E-04    4.5728E-04    2.3929E-04    2.6402E-04    4.6419E-04    5.2802E-04    2.6559E-03    2.5467E-03
560    8.1998E-03    1.9077E-03    1.7591E-03    3.4915E-04    3.9973E-04    2.1446E-04    2.1744E-04    4.0975E-04    4.5504E-04    2.3174E-03    2.2141E-03
580    7.0591E-03    1.6524E-03    1.5367E-03    3.0687E-04    3.4981E-04    1.8258E-04    1.8838E-04    3.5708E-04    3.9731E-04    2.0095E-03    1.9340E-03
600    6.1380E-03    1.4162E-03    1.3565E-03    2.7135E-04    3.0822E-04    1.5266E-04    1.6349E-04    3.1135E-04    3.4889E-04    1.7275E-03    1.7054E-03
620    5.3035E-03    1.2230E-03    1.1739E-03    2.3908E-04    2.7052E-04    1.3491E-04    1.3682E-04    2.7452E-04    3.0315E-04    1.4975E-03    1.4770E-03
640    4.5913E-03    1.0604E-03    1.0267E-03    2.1099E-04    2.3789E-04    1.1422E-04    1.2064E-04    2.3992E-04    2.6673E-04    1.3003E-03    1.2934E-03
660    3.9849E-03    9.3693E-04    8.9128E-04    1.8658E-04    2.0958E-04    1.0076E-04    1.0860E-04    2.1205E-04    2.3605E-04    1.1490E-03    1.1273E-03
680    3.4688E-03    8.1689E-04    7.7924E-04    1.6517E-04    1.8483E-04    8.9652E-05    9.0905E-05    1.8793E-04    2.0598E-04    1.0048E-03    9.8522E-04
700    3.0160E-03    7.0196E-04    6.7968E-04    1.4637E-04    1.6323E-04    7.5462E-05    8.0111E-05    1.6468E-04    1.8183E-04    8.6664E-04    8.6151E-04
720    2.6272E-03    6.1855E-04    5.9536E-04    1.2988E-04    1.4436E-04    6.7205E-05    6.7401E-05    1.4624E-04    1.5932E-04    7.6478E-04    7.5467E-04
740    2.2902E-03    5.4256E-04    5.2798E-04    1.1537E-04    1.2781E-04    5.8700E-05    6.1325E-05    1.2945E-04    1.4176E-04    6.7201E-04    6.6973E-04
760    2.0006E-03    4.8616E-04    4.5383E-04    1.0259E-04    1.1329E-04    4.9178E-05    5.2776E-05    1.1377E-04    1.2498E-04    5.9993E-04    5.7881E-04
780    1.7532E-03    4.1814E-04    4.0049E-04    9.1348E-05    1.0060E-04    4.5013E-05    4.6474E-05    1.0184E-04    1.1082E-04    5.1998E-04    5.1131E-04
800    1.5385E-03    3.7313E-04    3.5427E-04    8.1474E-05    8.9480E-05    3.9594E-05    4.1783E-05    9.0585E-05    9.8755E-05    4.6371E-04    4.5303E-04
820    1.3554E-03    3.3038E-04    3.1435E-04    7.2775E-05    7.9669E-05    3.5997E-05    3.4595E-05    8.1191E-05    8.6856E-05    4.1157E-04    4.0121E-04
840    1.1890E-03    2.8816E-04    2.8112E-04    6.5059E-05    7.0984E-05    3.0416E-05    3.1707E-05    7.1818E-05    7.7744E-05    3.5998E-04    3.5887E-04
860    1.0464E-03    2.6122E-04    2.4547E-04    5.8192E-05    6.3303E-05    2.6589E-05    2.7798E-05    6.3979E-05    6.9138E-05    3.2520E-04    3.1461E-04
880    9.2370E-04    2.2915E-04    2.1540E-04    5.2097E-05    5.6511E-05    2.3395E-05    2.4871E-05    5.7109E-05    6.1742E-05    2.8626E-04    2.7714E-04
900    8.1535E-04    1.9917E-04    1.9667E-04    4.6684E-05    5.0496E-05    2.0937E-05    2.1405E-05    5.1164E-05    5.4845E-05    2.5034E-04    2.5151E-04
920    7.2174E-04    1.7742E-04    1.7364E-04    4.1872E-05    4.5164E-05    1.8037E-05    1.9440E-05    4.5591E-05    4.9170E-05    2.2301E-04    2.2281E-04
940    6.3845E-04    1.5933E-04    1.5647E-04    3.7591E-05    4.0435E-05    1.6176E-05    1.7246E-05    4.0924E-05    4.3959E-05    2.0025E-04    2.0043E-04
960    5.6399E-04    1.4530E-04    1.3771E-04    3.3774E-05    3.6224E-05    1.4131E-05    1.5952E-05    3.6611E-05    3.9581E-05    1.8191E-04    1.7729E-04
980    5.0113E-04    1.3147E-04    1.2245E-04    3.0357E-05    3.2483E-05    1.2802E-05    1.3562E-05    3.2946E-05    3.5200E-05    1.6442E-04    1.5765E-04
