
*****************************************
*  Scale-Variation-error for 13TeV      *
*****************************************

 M_H    sigma_scale_lo+   sigma_scale_lo-       sigma_scale_nlo+  sigma_scale_nlo-   central_nlo
-----------------------------------------------------------------------------------------------
  200      +1.52e-01         -1.10e-01             +7.10e-02         -7.30e-02   7.23e-01
  220      +1.24e-01         -9.20e-02             +5.70e-02         -5.90e-02   6.00e-01
  240      +1.03e-01         -7.60e-02             +4.70e-02         -4.80e-02   5.00e-01
  260      +8.50e-02         -6.30e-02             +3.90e-02         -4.00e-02   4.20e-01
  280      +7.10e-02         -5.30e-02             +3.20e-02         -3.40e-02   3.55e-01
  300      +5.90e-02         -4.50e-02             +2.70e-02         -2.80e-02   3.00e-01
  320      +5.10e-02         -3.70e-02             +2.30e-02         -2.30e-02   2.55e-01
  340      +4.20e-02         -3.20e-02             +1.90e-02         -2.00e-02   2.18e-01
  360      +3.60e-02         -2.70e-02             +1.60e-02         -1.70e-02   1.86e-01
  380      +3.10e-02         -2.30e-02             +1.40e-02         -1.40e-02   1.60e-01
  400      +2.70e-02         -1.92e-02             +1.20e-02         -1.20e-02   1.38e-01
  420      +2.23e-02         -1.68e-02             +1.00e-02         -1.00e-02   1.19e-01
  440      +1.96e-02         -1.45e-02             +9.00e-03         -8.80e-03   1.03e-01
  460      +1.67e-02         -1.25e-02             +7.70e-03         -7.90e-03   8.98e-02
  480      +1.44e-02         -1.09e-02             +6.80e-03         -6.80e-03   7.82e-02
  500      +1.25e-02         -9.40e-03             +5.90e-03         -5.90e-03   6.83e-02
  520      +1.08e-02         -8.20e-03             +5.10e-03         -5.20e-03   5.99e-02
  540      +9.50e-03         -7.20e-03             +4.60e-03         -4.40e-03   5.25e-02
  560      +8.30e-03         -6.40e-03             +4.00e-03         -3.90e-03   4.62e-02
  580      +7.30e-03         -5.60e-03             +3.50e-03         -3.50e-03   4.08e-02
  600      +6.30e-03         -5.10e-03             +3.20e-03         -3.00e-03   3.60e-02
  620      +5.60e-03         -4.50e-03             +2.80e-03         -2.70e-03   3.19e-02
  640      +4.90e-03         -4.00e-03             +2.50e-03         -2.30e-03   2.83e-02
  660      +4.30e-03         -3.60e-03             +2.20e-03         -2.00e-03   2.51e-02
  680      +3.80e-03         -3.20e-03             +1.90e-03         -1.80e-03   2.24e-02
  700      +3.40e-03         -2.80e-03             +1.70e-03         -1.70e-03   2.00e-02
  720      +3.00e-03         -2.60e-03             +1.60e-03         -1.40e-03   1.78e-02
  740      +2.70e-03         -2.30e-03             +1.40e-03         -1.40e-03   1.60e-02
  760      +2.50e-03         -2.01e-03             +1.30e-03         -1.20e-03   1.43e-02
  780      +2.24e-03         -1.84e-03             +1.20e-03         -1.00e-03   1.28e-02
  800      +1.98e-03         -1.66e-03             +1.00e-03         -9.00e-04   1.15e-02
  820      +1.81e-03         -1.50e-03             +9.00e-04         -8.90e-04   1.04e-02
  840      +1.65e-03         -1.35e-03             +8.50e-04         -7.90e-04   9.35e-03
  860      +1.49e-03         -1.23e-03             +7.50e-04         -7.10e-04   8.43e-03
  880      +1.36e-03         -1.10e-03             +6.70e-04         -6.40e-04   7.62e-03
  900      +1.23e-03         -1.00e-03             +6.10e-04         -5.80e-04   6.89e-03
  920      +1.11e-03         -9.10e-04             +5.50e-04         -5.30e-04   6.24e-03
  940      +1.02e-03         -8.20e-04             +5.00e-04         -4.90e-04   5.66e-03
  960      +9.30e-04         -7.50e-04             +4.60e-04         -4.40e-04   5.13e-03
  980      +8.50e-04         -6.80e-04             +4.10e-04         -4.00e-04   4.66e-03
 1000      +7.70e-04         -6.20e-04             +3.80e-04         -3.70e-04   4.24e-03
