
*****************************************
*  Scale-Variation-error for  8TeV      *
*****************************************

 M_H    sigma_scale_lo+   sigma_scale_lo-       sigma_scale_nlo+  sigma_scale_nlo-   central_nlo
-----------------------------------------------------------------------------------------------
  200      +3.90e-02         -2.70e-02             +1.80e-02         -1.80e-02   1.89e-01
  220      +3.00e-02         -2.30e-02             +1.40e-02         -1.50e-02   1.53e-01
  240      +2.50e-02         -1.78e-02             +1.10e-02         -1.20e-02   1.25e-01
  260      +2.00e-02         -1.49e-02             +1.00e-02         -9.00e-03   1.02e-01
  280      +1.64e-02         -1.22e-02             +7.80e-03         -7.70e-03   8.45e-02
  300      +1.35e-02         -9.90e-03             +6.50e-03         -6.30e-03   7.00e-02
  320      +1.11e-02         -8.20e-03             +5.40e-03         -5.20e-03   5.82e-02
  340      +9.10e-03         -6.90e-03             +4.50e-03         -4.30e-03   4.86e-02
  360      +7.50e-03         -5.80e-03             +3.80e-03         -3.50e-03   4.07e-02
  380      +6.30e-03         -4.90e-03             +3.20e-03         -2.90e-03   3.42e-02
  400      +5.20e-03         -4.20e-03             +2.70e-03         -2.50e-03   2.89e-02
  420      +4.40e-03         -3.60e-03             +2.20e-03         -2.10e-03   2.45e-02
  440      +3.70e-03         -3.00e-03             +1.90e-03         -1.80e-03   2.08e-02
  460      +3.10e-03         -2.60e-03             +1.60e-03         -1.50e-03   1.77e-02
  480      +2.70e-03         -2.20e-03             +1.40e-03         -1.30e-03   1.51e-02
  500      +2.30e-03         -1.91e-03             +1.30e-03         -1.10e-03   1.29e-02
  520      +1.94e-03         -1.64e-03             +1.10e-03         -9.00e-04   1.11e-02
  540      +1.70e-03         -1.41e-03             +9.30e-04         -8.30e-04   9.57e-03
  560      +1.47e-03         -1.23e-03             +7.80e-04         -7.10e-04   8.25e-03
  580      +1.28e-03         -1.07e-03             +6.70e-04         -6.20e-04   7.14e-03
  600      +1.12e-03         -9.20e-04             +5.80e-04         -5.50e-04   6.19e-03
  620      +9.90e-04         -8.00e-04             +5.00e-04         -4.70e-04   5.37e-03
  640      +8.60e-04         -7.00e-04             +4.40e-04         -4.10e-04   4.67e-03
  660      +7.50e-04         -6.10e-04             +3.90e-04         -3.60e-04   4.07e-03
  680      +6.60e-04         -5.30e-04             +3.30e-04         -3.20e-04   3.56e-03
  700      +5.80e-04         -4.60e-04             +3.00e-04         -2.80e-04   3.11e-03
  720      +5.10e-04         -4.10e-04             +2.60e-04         -2.50e-04   2.73e-03
  740      +4.50e-04         -3.50e-04             +2.20e-04         -2.20e-04   2.40e-03
  760      +3.90e-04         -3.20e-04             +2.00e-04         -1.90e-04   2.11e-03
  780      +3.50e-04         -2.80e-04             +1.70e-04         -1.70e-04   1.86e-03
  800      +3.10e-04         -2.45e-04             +1.50e-04         -1.50e-04   1.64e-03
  820      +2.70e-04         -2.16e-04             +1.30e-04         -1.40e-04   1.45e-03
  840      +2.44e-04         -1.89e-04             +1.20e-04         -1.20e-04   1.28e-03
  860      +2.14e-04         -1.68e-04             +1.10e-04         -1.00e-04   1.13e-03
  880      +1.90e-04         -1.48e-04             +9.00e-05         -9.90e-05   1.01e-03
  900      +1.69e-04         -1.31e-04             +8.30e-05         -8.40e-05   8.93e-04
  920      +1.50e-04         -1.16e-04             +7.40e-05         -7.60e-05   7.94e-04
  940      +1.34e-04         -1.03e-04             +6.50e-05         -6.80e-05   7.07e-04
  960      +1.19e-04         -9.20e-05             +5.80e-05         -6.10e-05   6.30e-04
  980      +1.06e-04         -8.20e-05             +5.20e-05         -5.40e-05   5.62e-04
 1000      +9.50e-05         -7.30e-05             +4.60e-05         -4.90e-05   5.02e-04
